country,year,item,r,n,survey,cc_rank
Germany,1981,childfull2,1,389.111976086521,evs_combo,376
Germany,1981,childfull2,2,618.9393499124046,evs_combo,376
Germany,1982,childbenwork4,1,1100.0258728086148,allbus,376
Germany,1982,childbenwork4,2,1077.4535224773842,allbus,376
Germany,1982,childbenwork4,3,515.1511953371856,allbus,376
Germany,1982,childbenwork4,4,168.54021580651857,allbus,376
Germany,1982,preschoolwork4,1,1842.9070025986555,allbus,376
Germany,1982,preschoolwork4,2,748.3988154265633,allbus,376
Germany,1982,preschoolwork4,3,247.79424585839308,allbus,376
Germany,1982,preschoolwork4,4,105.33763487907405,allbus,376
Germany,1982,work4,1,262.84247941254654,allbus,376
Germany,1982,work4,2,703.7557225492411,allbus,376
Germany,1982,work4,3,765.4534801212702,allbus,376
Germany,1982,work4,4,1198.8426064808891,allbus,376
Germany,1988,familywork5a,1,680.3063777680951,issp1988,376
Germany,1988,familywork5a,2,1011.4555116522708,issp1988,376
Germany,1988,familywork5a,3,420.18923332735284,issp1988,376
Germany,1988,familywork5a,4,541.2437505478522,issp1988,376
Germany,1988,familywork5a,5,205.09236388596986,issp1988,376
Germany,1988,housewifefull5,1,561.2527616586784,issp1988,376
Germany,1988,housewifefull5,2,809.364499432925,issp1988,376
Germany,1988,housewifefull5,3,447.2013983269684,issp1988,376
Germany,1988,housewifefull5,4,630.2838499910293,issp1988,376
Germany,1988,housewifefull5,5,298.1342655513123,issp1988,376
Germany,1988,preschoolwork5,1,843.3798183213297,issp1988,376
Germany,1988,preschoolwork5,2,1210.5451722049927,issp1988,376
Germany,1988,preschoolwork5,3,339.15273832850625,issp1988,376
Germany,1988,preschoolwork5,4,359.1617494393326,issp1988,376
Germany,1988,preschoolwork5,5,102.04595666521426,issp1988,376
Germany,1988,wantch5,1,360.1621999948739,issp1988,376
Germany,1988,wantch5,2,775.3491805445202,issp1988,376
Germany,1988,wantch5,3,573.2581683251742,issp1988,376
Germany,1988,wantch5,4,618.2784433245336,issp1988,376
Germany,1988,wantch5,5,368.1658044392044,issp1988,376
Germany,1988,work3a,1,366.1649033281218,issp1988,376
Germany,1988,work3a,2,1064.4793910959606,issp1988,376
Germany,1988,work3a,3,1086.4893033178696,issp1988,376
Germany,1988,work3b,1,1318.593832203455,issp1988,376
Germany,1988,work3b,2,1246.5613922044802,issp1988,376
Germany,1988,work3b,3,109.04911055400348,issp1988,376
Germany,1988,work3c,1,2060.9281444151115,issp1988,376
Germany,1988,work3c,2,607.2734872135791,issp1988,376
Germany,1988,work3c,3,51.02297833260713,issp1988,376
Germany,1988,work3d,1,167.07524277539983,issp1988,376
Germany,1988,work3d,2,515.2320361037779,issp1988,376
Germany,1988,work3d,3,2010.9056166380458,issp1988,376
Germany,1988,work5a,1,142.06397888686692,issp1988,376
Germany,1988,work5a,2,532.2396955479803,issp1988,376
Germany,1988,work5a,3,171.07704499756508,issp1988,376
Germany,1988,work5a,4,1083.4879516512456,issp1988,376
Germany,1988,work5a,5,902.4064010982673,issp1988,376
Germany,1990,childfull2,1,1328.6628109285402,evs_combo,376
Germany,1990,childfull2,2,1363.237314292144,evs_combo,376
Germany,1990,housewifefull4,1,355.4970136380416,evs_combo,376
Germany,1990,housewifefull4,2,1101.1470724127232,evs_combo,376
Germany,1990,housewifefull4,3,1185.6961597908924,evs_combo,376
Germany,1990,housewifefull4,4,251.20973657187636,evs_combo,376
Germany,1990,preschoolwork4,1,1048.8380913111391,evs_combo,376
Germany,1990,preschoolwork4,2,1689.1819192116332,evs_combo,376
Germany,1990,preschoolwork4,3,499.7406488381692,evs_combo,376
Germany,1990,preschoolwork4,4,46.88967081073393,evs_combo,376
Germany,1990,wantch4,1,320.8422947279571,evs_combo,376
Germany,1990,wantch4,2,1172.0080367294925,evs_combo,376
Germany,1990,wantch4,3,1186.9088951799697,evs_combo,376
Germany,1990,wantch4,4,246.89135730766628,evs_combo,376
Germany,1990,work4,1,247.89060654535885,evs_combo,376
Germany,1990,work4,2,1562.7526313699962,evs_combo,376
Germany,1990,work4,3,1125.7152726093302,evs_combo,376
Germany,1990,work4,4,318.1795089321234,evs_combo,376
Germany,1991,childbenwork4,1,669.6679894582721,allbus,376
Germany,1991,childbenwork4,2,1100.0860405328654,allbus,376
Germany,1991,childbenwork4,3,906.6373340255689,allbus,376
Germany,1991,childbenwork4,4,214.68774107332777,allbus,376
Germany,1991,familywork5a,1,250.5772648927484,issp1991,376
Germany,1991,familywork5a,2,880.0762474281895,issp1991,376
Germany,1991,familywork5a,3,400.31245976768344,issp1991,376
Germany,1991,familywork5a,4,874.983213588906,issp1991,376
Germany,1991,familywork5a,5,391.1449988569731,issp1991,376
Germany,1991,preschoolwork4,1,1127.4181262847706,allbus,376
Germany,1991,preschoolwork4,2,1057.0916898154092,allbus,376
Germany,1991,preschoolwork4,3,549.9243973421138,allbus,376
Germany,1991,preschoolwork4,4,244.63035399151488,allbus,376
Germany,1991,work4,1,175.52611404693226,allbus,376
Germany,1991,work4,2,564.1616981616386,allbus,376
Germany,1991,work4,3,850.9501414896718,allbus,376
Germany,1991,work4,4,1380.076595374204,allbus,376
Germany,1992,childbenwork4,1,851.9170660185042,allbus,376
Germany,1992,childbenwork4,2,1180.3735964970035,allbus,376
Germany,1992,childbenwork4,3,878.8128033976583,allbus,376
Germany,1992,childbenwork4,4,432.91820975206895,allbus,376
