survey,item,variable,values
aes1993,jobpref5,e6pref,c(5:1)
aes1993,govtact5,e6opp,c(5:1)
aes1996,jobpref5,e5pref,c(5:1)
aes1996,govtact5,e5opp,c(5:1)
aes1998,jobpref5,e6pref,c(5:1)
aes1998,govtact5,e6opp,c(5:1)
aes2001,jobpref5,e4pref,c(5:1)
aes2001,govtact5,e4opp,c(5:1)
aes2004,jobpref5,e4pref,c(5:1)
aes2004,govtact5,e4opp,c(5:1)
aes2010,jobpref5,e4pref,c(5:1)
aes2010,govtact5,e4opp,c(5:1)
amb_brazil2016,polileader4,vb50,c(1:4)
amb_canada2012,polileader4,vb50,c(1:4)
amb_combo,polileader4,vb50,c(1:4)
amb_combo,politicianecon3,vb52,"c(1,2,3)"
amb_combo,quota7,gen6,c(1:7)
amb_combo,jobs7,gen1,c(7:1)
amb_combo,voting3,w10,c(1:3)
amb_suriname2012,polileader4,vb50,c(1:4)
amb_trinidad2012,polileader4,vb50,c(1:4)
amb_us2012,polileader4,vb50,c(1:4)
amb_us2012,jobs7,gen1,c(7:1)
arabb1,education4,q5054,c(1:4)
arabb1,equaljob4,q5055,c(4:1)
arabb1,equalwage4,q5056,c(4:1)
arabb1,hijab4a,q5046,c(4:1)
arabb1,islamclass4,q5044,c(4:1)
arabb1,polileader4,q5053,c(1:4)
arabb2,divorce4a,q60114,c(4:1)
arabb2,divorce4b,q60116,c(1:4)
arabb2,education4,q60104,c(1:4)
arabb2,equalwork4,q60105,c(4:1)
arabb2,hijab4b,q6076,c(4:1)
arabb2,inheritance4,q60109,c(4:1)
arabb2,lawmarry4a,q60115,c(4:1)
arabb2,lawmarry4b,q60117,c(1:4)
arabb2,permitsec4,q60112,c(4:1)
arabb2,polileader4,q60103,c(1:4)
arabb2,rejmarry4,q60113,c(4:1)
arabb3,education4,q6014,c(1:4)
arabb3,equalright4a,q812a1,c(4:1)
arabb3,hijab4b,q6076,c(4:1)
arabb3,polileader4,q6013,c(1:4)
arabb4,decision4,q6018,c(1:4)
arabb4,education4,q6013,c(1:4)
arabb4,hijab4a,q6076,c(4:1)
arabb4,inheritance4,q6014,c(4:1)
arabb4,islamclass4,q6074,c(4:1)
ases2000,rolehome4,v0215,c(1:4)
asianb1,supervise4,q070,c(1:4)
asianb3,politics4,q139,c(1:4)
cdcee,household4,v232,c(1:4)
evs_combo,childfull2,d019,"c(1,0)"
evs_combo,chrespon4,d064_01,c(4:1)
evs_combo,education4,d060,c(1:4)
evs_combo,fatherchild4,d064,c(4:1)
evs_combo,housewifefull4,d057,c(1:4)
evs_combo,income4,d058,c(4:1)
evs_combo,job3a,c001,"c(1,3,2)"
evs_combo,jobinde4,d063,c(4:1)
evs_combo,manchildren5,d020,c(1:5)
evs_combo,polileader4,d059,c(1:4)
evs_combo,preschoolwork4,d061,c(1:4)
evs_combo,sparent3,d023,"c(0,2,1)"
evs_combo,unmarried2,a124_40,"c(1,0)"
evs_combo,wantch4,d062,c(1:4)
evs_combo,work4,d056,c(4:1)
issp1985,businessopp5,v37,c(5:1)
issp1988,familywork5a,v6,c(1:5)
issp1988,home5a,v12,c(1:5)
issp1988,housewifefull5,v9,c(1:5)
issp1988,income5,v11,c(5:1)
issp1988,jobinde5,v10,c(5:1)
issp1988,preschoolwork5,v5,c(1:5)
issp1988,wantch5,v8,c(1:5)
issp1988,work3a,v17,c(3:1)
issp1988,work3b,v16,c(3:1)
issp1988,work3c,v15,c(3:1)
issp1988,work3d,v14,c(3:1)
issp1988,work5a,v4,c(5:1)
issp1991,familywork5a,v17,c(1:5)
issp1991,home5a,v16,c(1:5)
issp1994,familywork5a,v6,c(1:5)
issp1994,familywork5b,v14,c(5:1)
issp1994,home5b,v12,c(1:5)
issp1994,housewifefull5,v8,c(1:5)
issp1994,income5,v11,c(5:1)
issp1994,jobinde5,v9,c(5:1)
issp1994,maternity5,v42,c(5:1)
issp1994,msww5,v13,c(1:5)
issp1994,preschoolwork5,v5,c(1:5)
issp1994,wantch5,v7,c(1:5)
issp1994,work3a,v18,c(3:1)
issp1994,work3b,v17,c(3:1)
issp1994,work3c,v16,c(3:1)
issp1994,work3d,v15,c(3:1)
issp1994,work5a,v4,c(5:1)
issp1998,familywork5a,v13,c(1:5)
issp1998,home5a,v12,c(1:5)
issp2002,child5,v13,c(5:1)
issp2002,familywork5a,v6,c(1:5)
issp2002,home5b,v11,c(1:5)
issp2002,house5a,v12,c(5:1)
issp2002,housewifefull5,v8,c(1:5)
issp2002,income5,v10,c(5:1)
issp2002,jobinde5,v9,c(5:1)
issp2002,maternity5,v27,c(5:1)
issp2002,preschoolwork5,v5,c(1:5)
issp2002,wantch5,v7,c(1:5)
issp2002,work3a,v17,c(3:1)
issp2002,work3b,v16,c(3:1)
issp2002,work3c,v15,c(3:1)
issp2002,work3d,v14,c(3:1)
issp2002,work3f,v64,c(3:1)
issp2002,work5a,v4,c(5:1)
issp2008,home5a,v12,c(1:5)
lb1997,concentrate4,nsp68b,c(1:4)
lb2000,concentrate4,p69st,c(1:4)
lb2002,respect4,p24ub,c(4:1)
lb2004,concentrate4,p57st_a,c(1:4)
lb2004,moneyprob4,p57n_c,c(1:4)
lb2004,polileader4,p57wvs_b,c(1:4)
lb2006,chrespon3,p88n,"c(1,3,2)"
lb2006,poliwork4,p89n,"c(4,1,2,3)"
lb2006,public2a,p87n_1,"c(1,0)"
lb2006,public2b,p87n_2,"c(1,0)"
lb2006,public2c,p87n_5,"c(1,0)"
lb2007,rubbed2,p70n_b,"c(1,2)"
lb2007,whisper2,p70n_a,"c(1,2)"
lb2009,concentrate4,p67st_c,c(1:4)
lb2009,equality4,p15st_f,c(4:1)
lb2009,moneyprob4,p67st_e,c(1:4)
lb2009,polileader4,p67wvs_d,c(1:4)
pew2002,decveil4,q53b,c(4:1)
pew2002,samework4,q53c,c(1:4)
pew2005_11,scarves2,q20,"c(1,2)"
pew2005_6,scarves2,q46,"c(1,2)"
pew2006,imperial2,q64_allowempress,"c(2,1)"
pew2007,decveil4,q74a,c(4:1)
pew2007,poliequal3,q47,c(1:3)
pew2007,samework4,q74b,c(1:4)
pew2008,decveil4,q55aa,c(4:1)
pew2008,samework4,q55ab,c(1:4)
pew2010,decveil4,q69a,c(4:1)
pew2010,equalright2,q80,"c(2,1)"
pew2010,job4,q69c,c(1:4)
pew2010,lawseg2,q108a,"c(1,2)"
pew2010,qualiob4,q47,c(4:1)
pew2010,veilpub2a,q59,"c(1,2)"
pew2010,veilpub2b,q59fra,"c(1,2)"
pew2010,wifelife2,q93,"c(1,2)"
pew2012,equalright2,q85,"c(2,1)"
pew2012,job4,q86b,c(1:4)
pew2012,poliequal3,q101,"c(1,2,3)"
pew2015,equalright4b,q56c,c(4:1)
pew2016,equalright4b,q33c,c(4:1)
pew2017,organright4,humanrights_priority_gender,c(4:1)
pewrel2006_10nat,job4,q27a,c(1:4)
pewrel2006_10nat,obey4,q27c,c(1:4)
pewrel2006_10nat,pastors4,q27e,c(4:1)
pewrel2006_10nat,polileader4,q27b,c(1:4)
pewrel2006_10nat,work4,q27d,c(4:1)
pewrel2009_afr,decveil2,q59d,"c(2,1)"
pewrel2009_afr,job4,q11d,c(1:4)
pewrel2009_afr,religiouslead2,q59c,"c(2,1)"
pewrel2014_latam,catholic2,q72b,"c(2,1)"
pewrel2014_latam,job4,q19d,c(1:4)
pewrel2014_latam,protestant2,q65,"c(2,1)"
